year,regime,blocker_reason,flat_bars,flat_bars_in_year_regime,share,max_streak,p95_streak,effective_config_fingerprint,source_label
2024,BEAR,HYST_WAIT,4,18,0.222222,1,1,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
2024,BEAR,LTF_FIB_LONG_BLOCK,1,18,0.055556,1,1,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
2024,BEAR,ZONE:high@0.300,13,18,0.722222,4,4,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
2024,BULL,EDGE_TOO_SMALL,11,301,0.036545,2,2,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
2024,BULL,LTF_FIB_LONG_BLOCK,203,301,0.674419,16,14,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
2024,BULL,ZONE:high@0.300,87,301,0.289037,7,6,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
2024,RANGING,EDGE_TOO_SMALL,18,560,0.032143,2,1,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
2024,RANGING,HYST_WAIT,27,560,0.048214,1,1,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
2024,RANGING,LTF_FIB_LONG_BLOCK,389,560,0.694643,18,13,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
2024,RANGING,ZONE:high@0.300,126,560,0.225,9,4,182cb95f83f69a1f383265e94f466b61ffb91654418a49fb5b3ed8c356ad681c,config_file_complete:step9_min_edge_0p02__ltf_tol_0p8.json
