feature,buy_importance,sell_importance,avg_importance
rsi_inv_lag1,1.1689516578629215,1.1689516578629555,1.1689516578629386
volatility_shift_ma3,0.820454157336893,0.8204541573369523,0.8204541573369226
rsi_vol_interaction,0.7472511087785078,0.7472511087785254,0.7472511087785165
bb_position_inv_ma3,0.5009941336005359,0.5009941336005456,0.5009941336005408
vol_regime,0.2133023248235007,0.2133023248235156,0.21330232482350814
fib_prox_score,0.16989203129046854,0.16989203129038236,0.16989203129042546
fib05_prox_atr,0.13839381718113097,0.13839381718106064,0.1383938171810958
fib_prox_x_adx,0.05868037154467322,0.058680371544643645,0.05868037154465843
fib05_x_rsi_inv,0.03584782832320421,0.035847828323186136,0.03584782832319518
fib05_x_ema_slope,0.001508010887982827,0.0015080108879820622,0.0015080108879824447
