symbol,side,size,entry_price,entry_time,entry_regime,exit_price,exit_time,pnl,pnl_pct,commission,exit_reason,is_partial,remaining_size,position_id,entry_reasons,entry_fib_debug,exit_fib_debug
tBTCUSD,CLOSE_LONG,0.01,101520.735,2025-01-07T10:00:00,ranging,97948.0015,2025-01-07T15:00:00,-35.727335000000025,-3.5192155572947756,1.95896003,EMERGENCY_SL,False,0.0,tBTCUSD_2025-01-07T10:00:00,ZONE:low@0.250;ENTRY_LONG,"{'timestamp': '2025-01-07T10:00:00', 'summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 698.9971346351913, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}, 'htf': {'reason': 'UNAVAILABLE_PASS', 'raw': {'available': False, 'reason': 'HTF_LEVELS_INCOMPLETE', 'missing_levels': [0.382, 0.5, 0.618, 0.786], 'htf_timeframe': '1D', 'selector': {'mode': 'fixed', 'selected': '1D', 'decision_path': [{'source': 'per_timeframe', 'success': True, 'timeframe': '1D'}]}}, 'policy': 'pass'}, 'ltf': {'price': 101470.0, 'atr': 465.99808975679423, 'tolerance': 698.9971346351913, 'levels': {'0.382': 100572.072, '0.5': 99958.0, '0.618': 99343.928, '0.786': 98469.656}, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}, 'reason': 'PASS'}, 'reasons': ['ZONE:low@0.250', 'ENTRY_LONG']}","[{'timestamp': '2025-01-07T15:00:00', 'price': 97997.0, 'reason': 'EMERGENCY_SL', 'source': 'TRADITIONAL_EXIT', 'fib_gate_summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 872.0878689024452, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}}, {'timestamp': '2025-01-07T15:00:00', 'reason': 'EMERGENCY_SL', 'pnl_pct': -3.5192155572947756, 'remaining_size': 0.0}]"
tBTCUSD,CLOSE_LONG,0.013999999999999999,98923.43699999999,2025-01-16T08:00:00,bull,93351.301,2025-02-03T01:00:00,-78.00990399999976,-5.632776386449233,2.613836428,EMERGENCY_SL,False,0.0,tBTCUSD_2025-01-16T08:00:00,ZONE:low@0.250;ENTRY_LONG,"{'timestamp': '2025-01-16T08:00:00', 'summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 975.9095706384267, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}, 'htf': {'reason': 'UNAVAILABLE_PASS', 'raw': {'available': False, 'reason': 'HTF_LEVELS_INCOMPLETE', 'missing_levels': [0.382, 0.5, 0.618, 0.786], 'htf_timeframe': '1D', 'selector': {'mode': 'fixed', 'selected': '1D', 'decision_path': [{'source': 'per_timeframe', 'success': True, 'timeframe': '1D'}]}}, 'policy': 'pass'}, 'ltf': {'price': 98874.0, 'atr': 650.6063804256178, 'tolerance': 975.9095706384267, 'levels': {'0.382': 98792.48, '0.5': 98160.0, '0.618': 97527.52, '0.786': 96627.04}, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}, 'reason': 'PASS'}, 'reasons': ['ZONE:low@0.250', 'ENTRY_LONG']}","[{'timestamp': '2025-02-03T01:00:00', 'price': 93398.0, 'reason': 'EMERGENCY_SL', 'source': 'TRADITIONAL_EXIT', 'fib_gate_summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 1473.3240313814197, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}}, {'timestamp': '2025-02-03T01:00:00', 'reason': 'EMERGENCY_SL', 'pnl_pct': -5.632776386449233, 'remaining_size': 0.0}]"
tBTCUSD,CLOSE_LONG,0.01,95830.8915,2025-02-17T15:00:00,ranging,92653.65000000001,2025-02-24T22:00:00,-31.772414999999892,-3.3154669128795375,1.8530730000000004,EMERGENCY_SL,False,0.0,tBTCUSD_2025-02-17T15:00:00,ZONE:high@0.380;ENTRY_LONG,"{'timestamp': '2025-02-17T15:00:00', 'summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 563.1517439280827, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}, 'htf': {'reason': 'UNAVAILABLE_PASS', 'raw': {'available': False, 'reason': 'HTF_LEVELS_INCOMPLETE', 'missing_levels': [0.382, 0.5, 0.618, 0.786], 'htf_timeframe': '1D', 'selector': {'mode': 'fixed', 'selected': '1D', 'decision_path': [{'source': 'per_timeframe', 'success': True, 'timeframe': '1D'}]}}, 'policy': 'pass'}, 'ltf': {'price': 95783.0, 'atr': 375.43449595205516, 'tolerance': 563.1517439280827, 'levels': {'0.382': 96795.334, '0.5': 96634.5, '0.618': 96473.666, '0.786': 96244.682}, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}, 'reason': 'PASS'}, 'reasons': ['ZONE:high@0.380', 'ENTRY_LONG']}","[{'timestamp': '2025-02-24T22:00:00', 'price': 92700.0, 'reason': 'EMERGENCY_SL', 'source': 'TRADITIONAL_EXIT', 'fib_gate_summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 774.1435445909093, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}}, {'timestamp': '2025-02-24T22:00:00', 'reason': 'EMERGENCY_SL', 'pnl_pct': -3.3154669128795375, 'remaining_size': 0.0}]"
tBTCUSD,CLOSE_LONG,0.02,89505.73049999999,2025-03-03T14:00:00,bear,85858.04950000001,2025-03-03T19:00:00,-72.95361999999965,-4.0753602921546825,3.434321980000001,EMERGENCY_SL,False,0.0,tBTCUSD_2025-03-03T14:00:00,ZONE:high@0.380;ENTRY_LONG,"{'timestamp': '2025-03-03T14:00:00', 'summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 1646.717695390417, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}, 'htf': {'reason': 'UNAVAILABLE_PASS', 'raw': {'available': False, 'reason': 'HTF_LEVELS_INCOMPLETE', 'missing_levels': [0.382, 0.5, 0.618, 0.786], 'htf_timeframe': '1D', 'selector': {'mode': 'fixed', 'selected': '1D', 'decision_path': [{'source': 'per_timeframe', 'success': True, 'timeframe': '1D'}]}}, 'policy': 'pass'}, 'ltf': {'price': 89461.0, 'atr': 1097.8117969269447, 'tolerance': 1646.717695390417, 'levels': {'0.382': 91513.988, '0.5': 90338.0, '0.618': 89162.012, '0.786': 87487.724}, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}, 'reason': 'PASS'}, 'reasons': ['ZONE:high@0.380', 'ENTRY_LONG']}","[{'timestamp': '2025-03-03T19:00:00', 'price': 85901.0, 'reason': 'EMERGENCY_SL', 'source': 'TRADITIONAL_EXIT', 'fib_gate_summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 1880.3327128332412, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}}, {'timestamp': '2025-03-03T19:00:00', 'reason': 'EMERGENCY_SL', 'pnl_pct': -4.0753602921546825, 'remaining_size': 0.0}]"
tBTCUSD,CLOSE_LONG,0.02,89495.7255,2025-03-06T16:00:00,bear,85671.14300000001,2025-03-07T00:00:00,-76.4916499999998,-4.273480636793083,3.4268457200000007,EMERGENCY_SL,False,0.0,tBTCUSD_2025-03-06T16:00:00,ZONE:low@0.250;ENTRY_LONG,"{'timestamp': '2025-03-06T16:00:00', 'summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 1649.8695839246102, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}, 'htf': {'reason': 'UNAVAILABLE_PASS', 'raw': {'available': False, 'reason': 'HTF_LEVELS_INCOMPLETE', 'missing_levels': [0.382, 0.5, 0.618, 0.786], 'htf_timeframe': '1D', 'selector': {'mode': 'fixed', 'selected': '1D', 'decision_path': [{'source': 'per_timeframe', 'success': True, 'timeframe': '1D'}]}}, 'policy': 'pass'}, 'ltf': {'price': 89451.0, 'atr': 1099.91305594974, 'tolerance': 1649.8695839246102, 'levels': {'0.382': 88653.828, '0.5': 88495.0, '0.618': 88336.172, '0.786': 88110.044}, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}, 'reason': 'PASS'}, 'reasons': ['ZONE:low@0.250', 'ENTRY_LONG']}","[{'timestamp': '2025-03-07T00:00:00', 'price': 85714.0, 'reason': 'EMERGENCY_SL', 'source': 'TRADITIONAL_EXIT', 'fib_gate_summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 1920.2762981987762, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}}, {'timestamp': '2025-03-07T00:00:00', 'reason': 'EMERGENCY_SL', 'pnl_pct': -4.273480636793083, 'remaining_size': 0.0}]"
tBTCUSD,CLOSE_LONG,0.02,81250.605,2025-03-13T15:00:00,bear,81755.102,2025-03-31T00:00:00,10.08994000000006,0.6209147611885513,3.27020408,OPPOSITE_SIGNAL,False,0.0,tBTCUSD_2025-03-13T15:00:00,ZONE:low@0.250;ENTRY_LONG,"{'timestamp': '2025-03-13T15:00:00', 'summary': {'candidate': 'LONG', 'htf': {'reason': 'UNAVAILABLE_PASS', 'tolerance': None, 'level_price': None, 'config': None}, 'ltf': {'reason': 'PASS', 'tolerance': 1287.2328160392558, 'level_price': None, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}}}, 'htf': {'reason': 'UNAVAILABLE_PASS', 'raw': {'available': False, 'reason': 'HTF_LEVELS_INCOMPLETE', 'missing_levels': [0.382, 0.5, 0.618, 0.786], 'htf_timeframe': '1D', 'selector': {'mode': 'fixed', 'selected': '1D', 'decision_path': [{'source': 'per_timeframe', 'success': True, 'timeframe': '1D'}]}}, 'policy': 'pass'}, 'ltf': {'price': 81210.0, 'atr': 858.1552106928372, 'tolerance': 1287.2328160392558, 'levels': {'0.382': 83183.366, '0.5': 82736.5, '0.618': 82289.634, '0.786': 81653.418}, 'config': {'long_max_level': 0.146, 'short_min_level': 0.236}, 'reason': 'PASS'}, 'reasons': ['ZONE:low@0.250', 'ENTRY_LONG']}","[{'timestamp': '2025-03-31T00:00:00', 'reason': 'OPPOSITE_SIGNAL', 'pnl_pct': 0.6209147611885513, 'remaining_size': 0.0}]"
